ticks,red%,green%,blue%
0,25.20,43.60,31.20
1,37.20,50.00,12.80
2,42.00,50.40,7.60
3,48.00,44.80,7.20
4,48.40,45.20,6.40
5,51.60,42.80,5.60
6,54.00,38.40,7.60
7,52.80,40.80,6.40
8,62.80,31.20,6.00
9,60.00,32.40,7.60
10,61.20,31.20,7.60
11,63.60,28.80,7.60
12,64.80,27.20,8.00
13,68.40,25.60,6.00
14,69.20,24.00,6.80
15,68.40,25.20,6.40
16,72.40,20.00,7.60
17,74.00,19.20,6.80
18,74.80,18.80,6.40
19,75.60,18.80,5.60
20,75.20,19.20,5.60
21,75.20,19.20,5.60
22,76.80,17.60,5.60
23,78.40,17.60,4.00
24,79.20,16.80,4.00
25,81.20,14.80,4.00
26,80.80,15.20,4.00
27,82.00,14.00,4.00
28,82.80,14.00,3.20
29,84.00,12.40,3.60
30,84.80,12.00,3.20
31,84.40,12.00,3.60
32,84.80,11.60,3.60
33,84.80,11.60,3.60
34,84.40,12.00,3.60
35,86.40,10.00,3.60
36,85.60,10.80,3.60
37,85.60,10.80,3.60
38,85.20,11.20,3.60
39,86.40,9.20,4.40
40,86.80,9.60,3.60
41,87.60,8.80,3.60
42,87.60,8.80,3.60
43,86.80,10.00,3.20
44,86.40,10.40,3.20
45,86.40,10.40,3.20
46,87.60,9.60,2.80
47,87.60,9.60,2.80
48,87.20,10.00,2.80
49,87.60,10.00,2.40
50,88.40,9.20,2.40
51,88.40,9.20,2.40
52,85.20,10.40,4.40
53,85.20,10.00,4.80
54,86.40,9.20,4.40
55,86.40,9.20,4.40
56,86.80,8.80,4.40
57,87.20,8.80,4.00
58,87.60,8.40,4.00
59,88.40,8.40,3.20
60,88.00,8.80,3.20
61,87.20,9.20,3.60
62,88.00,8.80,3.20
63,88.00,8.40,3.60
64,88.80,8.00,3.20
65,88.40,8.40,3.20
66,88.00,8.80,3.20
67,88.40,8.80,2.80
68,88.40,8.80,2.80
69,88.80,8.40,2.80
70,89.60,7.60,2.80
71,89.60,7.20,3.20
72,89.20,8.00,2.80
73,89.20,8.00,2.80
74,89.20,8.00,2.80
75,89.60,7.60,2.80
76,88.80,7.20,4.00
77,87.60,8.40,4.00
78,87.60,8.40,4.00
79,87.60,8.40,4.00
80,86.80,9.20,4.00
81,86.80,8.80,4.40
82,87.60,8.00,4.40
83,87.60,8.00,4.40
84,87.60,8.40,4.00
85,88.40,8.00,3.60
86,89.20,7.20,3.60
87,88.80,8.00,3.20
88,89.20,8.00,2.80
89,89.20,8.00,2.80
90,89.60,8.00,2.40
91,89.20,8.40,2.40
92,91.20,6.80,2.00
93,91.20,7.20,1.60
94,90.80,7.60,1.60
95,90.80,7.60,1.60
96,90.80,7.60,1.60
97,89.60,8.40,2.00
98,89.60,8.40,2.00
99,90.00,8.00,2.00
100,90.00,8.00,2.00
101,92.00,6.80,1.20
102,85.60,10.40,4.00
103,86.40,9.20,4.40
104,88.00,8.00,4.00
105,89.60,6.80,3.60
106,89.20,8.00,2.80
107,90.80,7.20,2.00
108,91.60,6.40,2.00
109,93.20,4.80,2.00
110,93.20,4.80,2.00
111,93.60,4.40,2.00
112,93.60,4.40,2.00
113,93.60,4.40,2.00
114,93.60,4.40,2.00
115,94.00,4.40,1.60
116,94.40,4.00,1.60
117,95.20,3.20,1.60
118,95.20,3.20,1.60
119,95.20,3.60,1.20
120,95.20,3.60,1.20
121,95.20,3.60,1.20
122,95.60,3.20,1.20
123,96.00,2.80,1.20
124,96.00,3.20,.80
125,96.80,2.40,.80
126,97.20,2.00,.80
127,97.20,2.00,.80
128,97.60,2.00,.40
129,97.60,2.00,.40
130,96.80,2.80,.40
131,97.60,2.00,.40
132,97.20,2.40,.40
133,97.60,2.00,.40
134,97.60,2.00,.40
135,98.00,1.60,.40
136,98.40,1.20,.40
137,98.80,.80,.40
138,98.80,.80,.40
139,98.00,1.60,.40
140,97.20,2.40,.40
141,97.20,2.40,.40
142,97.60,2.00,.40
143,97.60,2.00,.40
144,97.20,2.40,.40
145,96.00,3.60,.40
146,95.20,4.40,.40
147,95.60,4.00,.40
148,95.20,4.40,.40
149,95.20,4.40,.40
150,94.80,4.80,.40
151,94.80,4.80,.40
152,95.60,4.00,.40
153,95.20,4.40,.40
154,96.00,3.60,.40
155,96.00,3.60,.40
156,96.40,3.20,.40
157,93.20,4.00,2.80
158,93.60,3.60,2.80
159,93.60,3.60,2.80
160,94.00,3.20,2.80
161,94.00,3.60,2.40
162,93.60,4.00,2.40
163,93.20,4.40,2.40
164,93.20,4.80,2.00
165,93.60,4.40,2.00
166,93.20,4.80,2.00
167,93.20,4.80,2.00
168,93.20,4.80,2.00
169,93.20,4.80,2.00
170,93.60,4.40,2.00
171,93.20,4.80,2.00
172,94.00,4.00,2.00
173,94.80,3.20,2.00
174,94.80,3.20,2.00
175,94.00,4.00,2.00
176,94.00,4.00,2.00
177,94.40,3.60,2.00
178,94.40,3.60,2.00
179,95.60,3.20,1.20
180,95.60,3.20,1.20
181,94.40,4.40,1.20
182,94.00,4.80,1.20
183,94.80,4.80,.40
184,95.20,4.40,.40
185,95.20,4.40,.40
186,95.60,3.60,.80
187,95.20,4.00,.80
188,94.80,4.00,1.20
189,94.80,4.00,1.20
190,94.80,4.00,1.20
191,95.20,3.60,1.20
192,95.20,4.00,.80
193,96.00,2.80,1.20
194,96.40,2.80,.80
195,96.40,2.80,.80
196,96.80,2.40,.80
197,96.80,2.40,.80
198,96.80,2.40,.80
199,97.60,2.00,.40
